# Logfile created on 2014-10-13 00:00:52 +0800 by logger.rb/41954
00:48:51 | GET  | /tzgg | _200_ |  | 1069ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:48:52 | GET  | /tzgg/189 | _200_ |  | 294ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:48:59 | GET  | /ssxw | _200_ |  | 111ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg/189 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:49:01 | GET  | /ssxw/78 | _200_ |  | 39 ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:49:08 | GET  | /tzgg | _200_ |  | 1041ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:49:10 | GET  | /tzgg?page=2 | _200_ |  | 261ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:49:19 | GET  | /dhwj | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:49:29 | GET  |  | _200_ |  | 1333ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:50:14 | GET  |  | _200_ |  | 1567ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:52:32 | GET  |  | _200_ |  | 1331ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:53:34 | GET  |  | _200_ |  | 1232ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:53:50 | GET  |  | _200_ |  | 1374ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:53:58 | GET  |  | _200_ |  | 1552ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:54:04 | GET  |  | _200_ |  | 1755ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:04 | GET  |  | _200_ |  | 1651ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:08 | GET  | /favicon.ico | _404_ |  | 3  ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:12 | GET  | /ccjl | _200_ |  | 39 ms | 127.0.0.1 | localhost | http://localhost:3000/ | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:14 | GET  | /dpdf | _200_ |  | 51 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:15 | GET  | /jsrc | _200_ |  | 22 ms | 127.0.0.1 | localhost | http://localhost:3000/dpdf | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /jsgc | _200_ |  | 58 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_01.png | _404_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_03.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_05.png | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_04.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_02.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_06.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_08.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_07.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_09.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_10.png | _404_ |  | 12 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_12.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_11.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_14.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_13.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_16.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_15.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_18.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_20.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_17.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_19.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_22.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_21.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_23.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_24.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_27.png | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_25.png | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_26.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_29.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_30.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_28.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_31.png | _404_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_33.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_32.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_34.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_37.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_35.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_36.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_38.png | _404_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:58:16 | GET  | /images/rule_39.png | _404_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
